id;secteur;sous_secteur;code;nom;version;date_debut;date_fin
BAR-TH-172vA62-2;BAR;TH;BAR-TH-172;Pompe à chaleur de type eau/eau ou sol/eau;A62-2;2025-01-01;
BAR-TH-173vA56-1;BAR;TH;BAR-TH-173;Système de régulation par programmation horaire pièce par pièce;A56-1;2015-01-01;
BAR-TH-174vA57-1;BAR;TH;BAR-TH-174;Rénovation d'ampleur d'une maison individuelle (France métropolitaine);A57-1;2015-01-01;
BAR-TH-175vA57-1;BAR;TH;BAR-TH-175;Rénovation d'ampleur d'un appartement (France métropolitaine);A57-1;2015-01-01;
BAR-TH-176vA58-1;BAR;TH;BAR-TH-176;Système de régulation de la consommation d'un chauffe-eau électrique à effet Joule;A58-1;2015-01-01;
BAR-TH-177vA63-1;BAR;TH;BAR-TH-177;Rénovation globale d'un bâtiment résidentiel collectif (France métropolitaine);A63-1;2024-11-01;
BAT-EN-101vA64-4;BAT;EN;BAT-EN-101;Isolation de combles ou de toitures;A64-4;2025-01-01;
BAT-EN-102vA64-3;BAT;EN;BAT-EN-102;Isolation des murs;A64-3;2025-01-01;
BAT-EN-103vA64-4;BAT;EN;BAT-EN-103;Isolation d'un plancher;A64-4;2025-01-01;
BAT-EN-104vA54-3;BAT;EN;BAT-EN-104;Fenêtre ou porte-fenêtre complète avec vitrage isolant;A54-3;2015-01-01;
BAT-EN-106vA64-3;BAT;EN;BAT-EN-106;Isolation de combles ou de toitures (France d'outre-mer);A64-3;2025-01-01;
BAT-EN-107vA64-3;BAT;EN;BAT-EN-107;Isolation des toitures terrasses;A64-3;2025-01-01;
BAT-EN-108vA19-1;BAT;EN;BAT-EN-108;Isolation des murs (France d'outre-mer);A19-1;2015-01-01;
BAT-EN-109vA24-1;BAT;EN;BAT-EN-109;Réduction des apports solaires par la toiture (France d'outre mer);A24-1;2016-12-14;
BAT-EN-110vA25-1;BAT;EN;BAT-EN-110;Protections des baies contre le rayonnement solaire (France d'outre-mer);A25-1;2017-03-02;
BAT-EN-111vA38-1;BAT;EN;BAT-EN-111;Fenêtre ou porte-fenêtre complète avec vitrage pariétodynamique (France métropolitaine);A38-1;2015-01-01;
BAT-EN-112vA38-1;BAT;EN;BAT-EN-112;Revêtements réflectifs en toiture;A38-1;2016-02-08;
BAT-EN-113vA54-1;BAT;EN;BAT-EN-113;Façade rideau ou semi-rideau avec vitrage isolant;A54-1;2023-06-13;
BAT-EQ-111vA16-1;BAT;EQ;BAT-EQ-111;Luminaires à modules LED pour surfaces commerciales;A16-1;2015-01-01;2019-04-01
BAT-EQ-114vA24-1;BAT;EQ;BAT-EQ-114;Éclairage LED pour meubles frigorifiques verticaux;A24-1;2016-12-14;2019-04-01
BAT-EQ-116vA14-1;BAT;EQ;BAT-EQ-116;Lampe à LED de classe A+ (France d'outre- mer);A14-1;2015-01-01;2019-04-01
BAT-EQ-117vA40-2;BAT;EQ;BAT-EQ-117;Installation frigorifique utilisant du CO2 subcritique ou transcritique;A40-2;2015-01-01;
BAT-EQ-123vA25-1;BAT;EQ;BAT-EQ-123;Moto-variateur synchrone à aimants permanents ou à reluctance;A25-1;2017-03-02;
BAT-EQ-124vA15-1;BAT;EQ;BAT-EQ-124;Fermeture des meubles frigorifiques de vente à température positive;A15-1;2015-01-01;
BAT-EQ-125vA22-1;BAT;EQ;BAT-EQ-125;Fermeture des meubles frigorifiques de vente à température négative;A22-1;2016-06-02;
BAT-EQ-126vA16-1;BAT;EQ;BAT-EQ-126;Lampe ou luminaire à modules LED pour l'éclairage d'accentuation;A16-1;2015-01-01;2018-04-01
BAT-EQ-127vA40-4;BAT;EQ;BAT-EQ-127;Luminaire d'éclairage général à modules LED;A40-4;2015-01-01;
BAT-EQ-129vA26-1;BAT;EQ;BAT-EQ-129;Lanterneaux d'éclairage zénithal (France Métropolitaine);A26-1;2017-07-26;
BAT-EQ-130vA22-1;BAT;EQ;BAT-EQ-130;Système de condensation frigorifique à haute efficacité;A22-1;2016-06-02;
BAT-EQ-131vA15-1;BAT;EQ;BAT-EQ-131;Conduits de lumière naturelle;A15-1;2015-01-01;
BAT-EQ-132vA19-2;BAT;EQ;BAT-EQ-132;Tubes à LED à éclairage hémisphérique;A19-2;2015-01-01;2019-04-01
